epoch,training_loss,val_loss
0,0.45998104758020664,0.1835117031528492
1,0.1571277118107307,0.14099919565583535
2,0.13551496320312087,0.13169801937996553
3,0.12617152760365788,0.1277868997453254
4,0.1202526800336532,0.12023460244428491
5,0.11518943988163809,0.11583105851002413
6,0.1117272084162237,0.11513673453342109
7,0.10782734714670851,0.11174276779118489
8,0.1051818250575542,0.10899950839469112
9,0.09802115103746907,0.10311583444626644
10,0.09483743911973934,0.10158530091280704
11,0.09298630575064083,0.09904110637763348
12,0.09098528350707523,0.09707533015284134
13,0.08975753652718904,0.09688921261755366
14,0.08731523348260777,0.09661405406770729
15,0.0876801324810712,0.09673774577011503
16,0.08583184809418838,0.09353750105295981
17,0.0842553502888091,0.09378604998445919
18,0.08315275892958686,0.09200745049890105
19,0.08214876840225402,0.09193716390983209
20,0.08221909481121055,0.0941855941306461
21,0.08130093527706195,0.09037380803900351
22,0.07926906253002468,0.09259374501080872
23,0.08012866627017362,0.09313922283393798
24,0.07980491742487565,0.09369927887872105
